home,team_name
ana,Los Angeles Angels of Anaheim 
aas,AL All Stars
ari,Arizona Diamondbacks
atl,Atlanta Braves
bal,Baltimore Orioles
bos,Boston Red Sox
cha,Chicago White Sox
chn,Chicago Cubs
cin,Cincinnati Reds
cle,Cleveland Indians
col,Colorado Rockies
det,Detroit Tigers
hou,Houston Astros
kca,Kansas City Royals
lan,Los Angeles Dodgers 
mia,Miami Marlins
mil,Milwaukee Brewers
min,Minnesota Twins
nas,NL All Stars
nya,New York Yankees
nyn,New York Mets
oak,Oakland Athletics
phi,Philadelphia Phillies
pit,Pittsburgh Pirates
sdn,San Diego Padres
sea,Seattle Mariners
sfn,San Francisco Giants
sln,St. Louis Cardinals
tba,Tampa Bay Rays
tex,Texas Rangers
tor,Toronto Bluejays
was,Washington Nationals